beauty_seq,mem_seq,beauty_name,beauty_locate,beauty_phone,beauty_content,beauty_score,beauty_hit,beauty_wdate,beauty_update
172,30,카라미용실,서울 서초구 동광로3길 40 (우)06558,02-3764-9495,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
173,33,수헤어샵,서울 동작구 사당로20길 18 (우)07011,02-3390-3027,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
174,34,벗미장,서울 동작구 사당로22길 32 (우)07012,02-9502-7886,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
175,34,자기연출,서울 서초구 동광로9길 15 (우)06560,02-5966-2147,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
176,27,원하다헤어 이수역점,서울 동작구 사당로29길 1 (우)07006,02-1438-2972,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
177,29,허밍미용실,서울 동작구 동작대로33다길 11 (우)06996,02-7116-4736,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
178,28,주정란헤어써클,서울 동작구 동작대로9길 47 (우)07015,02-2127-6721,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
179,29,머리염색체험방 이수점,서울 동작구 동작대로27길 49 (우)07008,02-3073-8065,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
180,28,나쁜여자,서울 동작구 동작대로7길 87 (우)07024,02-2843-1831,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
181,27,리안헤어 낙성대점,서울 관악구 봉천로 614-1 2층 (우)08793,02-9636-3299,매일 10:00 ~ 21:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
182,26,메이21,서울 서초구 효령로29길 23 102호 (우)06685,02-3583-1822,매일 10:00 ~ 21:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
183,35,아가다헤어,서울 동작구 사당로16길 40 (우)07018,02-2295-1470,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
184,27,아미가,서울 서초구 서초대로25길 62 (우)06586,02-7173-9486,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
185,27,나비효과 사당점,서울 동작구 동작대로29길 53 2층 (우)07008,02-9359-8826,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
186,33,흑장미미용실,서울 서초구 효령로5길 26-5 (우)06690,02-4641-4063,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
187,35,by민정,서울 서초구 효령로 89 (우)06687,02-9383-0003,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
188,35,미니헤어,서울 동작구 동작대로29나길 39 (우)06997,02-0396-9706,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
189,32,준헤어,서울 동작구 사당로17라길 12 (우)07004,02-9137-2443,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
190,34,박선미용실,서울 서초구 방배로 199 (우)06562,02-0827-8939,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
191,27,다온헤어,서울 동작구 사당로22길 32 (우)07012,02-4924-0874,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
192,29,밸라붙임머리,서울 동작구 동작대로17길 20 (우)07013,02-4733-3271,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
193,29,무코,서울 동작구 사당로8길 29 102호 (우)07019,02-6676-0334,"화,수,금,토,일 11:00 ~ 21:00",5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
194,30,행복헤어,서울 동작구 동작대로29나길 30 (우)06997,02-6095-3046,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
195,35,하비비헤어샵,서울 동작구 동작대로25길 60 (우)07008,02-3397-3121,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
196,35,강현헤어,서울 서초구 방배중앙로 58 (우)06680,02-6929-2040,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
197,29,천연헤나 샴푸로염색하세요 신타방배동점,서울 서초구 방배로 232 (우)06584,02-5504-1085,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
198,28,현헤어,서울 서초구 동광로18길 25 (우)06562,02-1015-9657,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
199,28,루아헤어,서울 서초구 동광로 75 (우)06584,02-5128-2398,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
200,28,위스138,서울 서초구 동광로 113 (우)06584,02-533-7575,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
201,29,원헤어살롱,서울 동작구 동작대로33가길 5 (우)06996,02-8261-5676,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
202,30,에셀나무,서울 서초구 청두곶길 38-3 (우)06690,02-7362-3873,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
203,28,에스뷰티샵,서울 동작구 동작대로7길 6 1층 (우)07015,02-0952-7769,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
204,34,아마타헤어,서울 동작구 동작대로29길 29-4 (우)07008,02-3670-6310,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
205,34,나래헤어갤러리,서울 동작구 사당로29가길 17 (우)07007,02-2354-7876,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
206,35,리유헤어,서울 서초구 효령로33길 70 소정빌딩 1층 102호 (우)06665,010-4941-3233,화~일 10:00 ~ 20:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
207,26,하선정,서울 서초구 효령로29길 78 (우)06682,02-5738-1988,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
208,33,헤어갤러리,서울 서초구 서초대로 115 (우)06588,02-4492-2840,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
209,35,올리브미용실,서울 서초구 방배천로2안길 120 (우)06677,02-2957-6904,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
210,26,안나미용실,서울 동작구 사당로20길 45 (우)07016,02-2877-9957,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
211,26,나래미용실,서울 동작구 사당로29가길 52 (우)07008,02-8785-2433,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
212,32,라움헤어,서울 동작구 사당로26길 67 (우)07014,02-4562-7876,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
213,32,더나은미용실,서울 동작구 사당로27길 90 (우)07007,02-0713-0051,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
214,26,제이원헤어,서울 동작구 동작대로35가길 1 1층 1호 (우)06996,02-7631-2890,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
215,28,정홍섭열펌헤어,서울 서초구 서초대로25길 37 아이알빌딩 2층 (우)06586,010-8965-6348,수~일 10:00 ~ 19:30,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
216,34,이영주헤어,서울 동작구 사당로17가길 8 (우)07004,02-1983-4402,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
217,35,W헤어 사당점,서울 동작구 사당로 206 2층 (우)07009,02-587-7989,매일 10:00 ~ 21:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
218,35,브로우 푸,서울 관악구 남부순환로 2054 (우)08805,02-0810-4157,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
219,35,그림채헤어,서울 서초구 방배로27길 31 1층 (우)06572,02-2664-7698,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
220,27,헤베니케,서울 동작구 사당로22길 15 (우)07012,02-5029-7436,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
221,26,장은미용실,서울 동작구 사당로27길 19 (우)07006,02-1710-0105,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
222,31,거리의멋쟁이,서울 동작구 동작대로13길 10 (우)07014,02-4378-7184,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
223,32,참빗헤어 본점,서울 서초구 방배로33길 16 1층 (우)06562,02-591-5060,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
224,32,나를위한,서울 서초구 효령로33길 35 1층 102호 (우)06665,010-3147-5727,화요일,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
225,33,다미헤어,서울 서초구 서초대로1길 34 (우)06566,02-3263-9280,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
226,27,로얄살롱엠 방배점,서울 서초구 방배로13길 18 방배대림아크로타워 207호 (우)06683,02-585-1226,매일 10:30 ~ 20:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
227,32,듀바리미용실,서울 서초구 방배로27길 19-1 (우)06572,02-6756-2948,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
228,34,로위 방배점,서울 서초구 효령로 120 3층 (우)06695,02-8199-8565,매일 10:30 ~ 21:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
229,33,러블리하우스 더룸 본점,서울 동작구 사당로 200 2층 (우)07009,02-8008-6885,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
230,34,민헤어샵,서울 서초구 방배중앙로25길 37 105호 (우)06559,02-8113-3477,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
231,26,미소헤어,서울 동작구 동작대로33길 29 (우)06997,02-9695-8776,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
232,34,헤어미용실,서울 동작구 동작대로33길 29 (우)06997,02-7099-1779,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
233,32,이시스헤어,서울 서초구 방배로15길 20 (우)06682,02-8880-1848,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
234,32,살롱에이 방배역2호점,서울 서초구 방배로13길 7 2층 (우)06686,02-2091-1677,일 10:30 ~ 08:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
235,35,라인헤어,서울 동작구 동작대로33길 17 (우)06997,02-5795-3732,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
236,29,헤어킹,서울 서초구 방배중앙로27길 12 (우)06554,02-5693-0580,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
237,32,예쁠래,서울 동작구 동작대로33다길 9 1층 (우)06996,02-5725-1140,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
238,33,감성헤어 방배점,서울 서초구 효령로31길 36 1층 (우)06686,02-582-8039,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
239,31,머리나라,서울 동작구 사당로 252 (우)07012,02-0321-3351,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
240,29,샾아이엔지 방배점,서울 서초구 방배중앙로 14 으뜸빌딩 101호 (우)06687,02-522-5173,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
241,32,마샬,서울 동작구 동작대로39길 22 (우)06993,02-3761-0513,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
242,34,씨에프헤어,서울 동작구 동작대로3길 35 (우)07025,02-2699-0646,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
243,34,머리이야기,서울 동작구 동작대로35길 33 1층 (우)06996,02-6149-0213,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
244,28,지니헤어라인,서울 동작구 동작대로3길 40 (우)07015,02-9679-5793,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
245,30,라인헤어,서울 동작구 사당로16가길 42 (우)07010,02-7389-9316,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
246,31,살롱드리베르떼,서울 서초구 효령로 22 101호 (우)06698,02-6181-7621,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
247,28,환희헤어샵,서울 동작구 동작대로35가길 35 (우)06996,02-8913-3182,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
248,28,민Je헤어 남성역,서울 동작구 사당로13길 6 2층 (우)07004,02-535-0403,수요일,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
249,28,토니앤가이 방배점,서울 서초구 방배중앙로 204 방배리첸시아 1층 (우)06552,02-4351-6801,매일 10:00 ~ 19:30,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
250,30,헤어캐슬,서울 서초구 동광로11길 109 (우)06554,02-6257-1366,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
